DATE,BSCICP03BRM665S
1995-04-01,101.676130395557
1995-05-01,100.051811777184
1995-06-01,98.5344187251649
1995-07-01,97.3625152403663
1995-08-01,96.9960916782833
1995-09-01,96.9320597630962
1995-10-01,97.0166795504158
1995-11-01,97.2859905386772
1995-12-01,97.6403910161981
1996-01-01,97.9709284950113
1996-02-01,98.2349007791002
1996-03-01,98.4865197840198
1996-04-01,98.7849398711097
1996-05-01,99.1490395845374
1996-06-01,99.5342025534919
1996-07-01,99.8466191390206
1996-08-01,99.9709249490004
1996-09-01,100.008186231175
1996-10-01,100.031193630366
1996-11-01,100.133201215445
1996-12-01,100.267318585503
1997-01-01,100.368104088569
1997-02-01,100.406648131677
1997-03-01,100.392988048783
1997-04-01,100.32036399583
1997-05-01,100.14447890998
1997-06-01,99.9421228717168
1997-07-01,99.7774570777526
1997-08-01,99.6807690754996
1997-09-01,99.5723376914104
1997-10-01,99.30752084774
1997-11-01,98.7507868229754
1997-12-01,98.0921312809961
1998-01-01,97.5954083898187
1998-02-01,97.5517838285369
1998-03-01,97.7444539686866
1998-04-01,97.9910722286032
1998-05-01,98.1574796752352
1998-06-01,98.1862877535107
1998-07-01,97.9992710870263
1998-08-01,97.4685593997718
1998-09-01,96.758454739086
1998-10-01,96.1681406897033
1998-11-01,96.2053847467209
1998-12-01,96.4224460582995
1999-01-01,96.6344358822514
1999-02-01,96.8054566454436
1999-03-01,97.0086127381478
1999-04-01,97.3409900599991
1999-05-01,97.926900669255
1999-06-01,98.6027055227737
1999-07-01,99.2081070200996
1999-08-01,99.581146561323
1999-09-01,99.8128061412654
1999-10-01,99.9599691174064
1999-11-01,100.002961310074
1999-12-01,100.007989139249
2000-01-01,100.049747308234
2000-02-01,100.206390974479
2000-03-01,100.448977333279
2000-04-01,100.760022940808
2000-05-01,101.148918282775
2000-06-01,101.530082847025
2000-07-01,101.764071327331
2000-08-01,101.689210543067
2000-09-01,101.472413061127
2000-10-01,101.27123649627
2000-11-01,101.192680065603
2000-12-01,101.236360225983
2001-01-01,101.355867042856
2001-02-01,101.329083720729
2001-03-01,101.068681332047
2001-04-01,100.70050232481
2001-05-01,100.170360561714
2001-06-01,99.4574197709079
2001-07-01,98.6915338251712
2001-08-01,98.0921847503552
2001-09-01,97.8399654559508
2001-10-01,98.1083267695069
2001-11-01,98.9545954326
2001-12-01,99.862412107146
2002-01-01,100.374668029706
2002-02-01,100.544493221525
2002-03-01,100.457400689639
2002-04-01,100.28506203884
2002-05-01,99.9423984578131
2002-06-01,99.4835201737243
2002-07-01,99.1003887966457
2002-08-01,99.0312936250763
2002-09-01,99.2903806734722
2002-10-01,99.8055480911376
2002-11-01,100.451760164942
2002-12-01,100.914281261919
2003-01-01,100.936866970635
2003-02-01,100.616045724742
2003-03-01,100.068931981315
2003-04-01,99.4788464774641
2003-05-01,98.8340270677415
2003-06-01,98.2253131768757
2003-07-01,97.9577632927599
2003-08-01,98.3681660131263
2003-09-01,99.2497868999822
2003-10-01,100.250368665263
2003-11-01,101.056914117452
2003-12-01,101.530308477088
2004-01-01,101.638376583284
2004-02-01,101.584490698141
2004-03-01,101.510301720428
2004-04-01,101.601225256207
2004-05-01,101.833829421776
2004-06-01,102.056911926195
2004-07-01,102.223297575124
2004-08-01,102.321556322888
2004-09-01,102.45041848916
2004-10-01,102.565715454733
2004-11-01,102.540718175376
2004-12-01,102.308841143715
2005-01-01,101.871439606763
2005-02-01,101.443686288425
2005-03-01,101.049169896772
2005-04-01,100.741247700418
2005-05-01,100.429959879773
2005-06-01,100.069551290583
2005-07-01,99.7461584807894
2005-08-01,99.5566165484679
2005-09-01,99.5362505295277
2005-10-01,99.6248165262408
2005-11-01,99.8072681589936
2005-12-01,100.076790755064
2006-01-01,100.338350025021
2006-02-01,100.534770888747
2006-03-01,100.677579256596
2006-04-01,100.753781536651
2006-05-01,100.669056576021
2006-06-01,100.584354864714
2006-07-01,100.553421888684
2006-08-01,100.521499531984
2006-09-01,100.597059918416
2006-10-01,100.705326407974
2006-11-01,100.925514694329
2006-12-01,101.176165573315
2007-01-01,101.390558078665
2007-02-01,101.696060148785
2007-03-01,102.010535441263
2007-04-01,102.287243241327
2007-05-01,102.441164034979
2007-06-01,102.519493316526
2007-07-01,102.616521042241
2007-08-01,102.692101977841
2007-09-01,102.784229085712
2007-10-01,102.881852403817
2007-11-01,102.901552185154
2007-12-01,102.882316630755
2008-01-01,102.811041551882
2008-02-01,102.727766233578
2008-03-01,102.642147957065
2008-04-01,102.651137441711
2008-05-01,102.783796255918
2008-06-01,102.957907208815
2008-07-01,103.002116092529
2008-08-01,102.757021718561
2008-09-01,101.89336653944
2008-10-01,100.208731208176
2008-11-01,98.1127883971203
2008-12-01,96.6435321316939
2009-01-01,96.1404082972333
2009-02-01,96.2859657725074
2009-03-01,96.8325810679709
2009-04-01,97.628901468793
2009-05-01,98.4688311614887
2009-06-01,99.2928144192489
2009-07-01,100.035908382454
2009-08-01,100.732603139744
2009-09-01,101.427330114365
2009-10-01,101.993769161782
2009-11-01,102.386124995723
2009-12-01,102.657490242987
2010-01-01,102.859890660617
2010-02-01,103.048120877922
2010-03-01,103.146144226166
2010-04-01,103.171664005185
2010-05-01,103.120900073318
2010-06-01,102.977469192046
2010-07-01,102.831949205182
2010-08-01,102.767308992683
2010-09-01,102.7636275919
2010-10-01,102.711134224582
2010-11-01,102.603090377788
2010-12-01,102.519482923891
2011-01-01,102.459866978083
2011-02-01,102.478573537766
2011-03-01,102.503524562738
2011-04-01,102.403526724656
