DATE,BSCICP03CNM665S
2000-02-01,100.487822422157
2000-03-01,100.368131425358
2000-04-01,100.304348488271
2000-05-01,100.384866565843
2000-06-01,100.651232283634
2000-07-01,100.87451369897
2000-08-01,100.718277067411
2000-09-01,99.9446479116801
2000-10-01,98.9998901374818
2000-11-01,98.5000077364495
2000-12-01,98.8874751075546
2001-01-01,99.6430920053532
2001-02-01,100.043429460389
2001-03-01,99.550126172477
2001-04-01,98.5544643471726
2001-05-01,97.5826455309009
2001-06-01,97.0034249834725
2001-07-01,96.7119030415681
2001-08-01,96.5656315048902
2001-09-01,96.5330214163597
2001-10-01,96.6965004375163
2001-11-01,97.2851229370493
2001-12-01,98.511090969641
2002-01-01,99.9811317764334
2002-02-01,101.187899689486
2002-03-01,101.757305262031
2002-04-01,101.959117292474
2002-05-01,102.137557251844
2002-06-01,102.509487253353
2002-07-01,102.985970093024
2002-08-01,103.372795893725
2002-09-01,103.466455912755
2002-10-01,103.239773385393
2002-11-01,102.605129345879
2002-12-01,101.498030990493
2003-01-01,100.368641557077
2003-02-01,99.8577370663629
2003-03-01,100.494954140888
2003-04-01,101.778552881648
2003-05-01,103.112455569343
2003-06-01,104.096903698959
2003-07-01,104.768811067846
2003-08-01,105.189772290353
2003-09-01,105.346612077485
2003-10-01,105.302880658647
2003-11-01,105.042013994518
2003-12-01,104.511065195883
2004-01-01,103.881571187763
2004-02-01,103.364930699516
2004-03-01,103.126327468718
2004-04-01,103.085799920869
2004-05-01,103.156844400197
2004-06-01,103.286942717502
2004-07-01,103.386517670834
2004-08-01,103.34194888817
2004-09-01,103.059112038373
2004-10-01,102.651061773839
2004-11-01,102.291526096037
2004-12-01,102.193614135777
2005-01-01,102.540009346751
2005-02-01,103.15153898153
2005-03-01,103.741858358557
2005-04-01,103.134184233666
2005-05-01,101.590504316035
2005-06-01,100.388829430847
2005-07-01,100.103870556533
2005-08-01,100.778291747725
2005-09-01,101.692458028459
2005-10-01,101.978041653768
2005-11-01,101.850568250257
2005-12-01,101.465148222277
2006-01-01,101.043950155427
2006-02-01,101.433357838243
2006-03-01,102.636061398297
2006-04-01,103.421649619375
2006-05-01,102.871698280704
2006-06-01,101.998499847747
2006-07-01,101.461354414736
2006-08-01,101.838688659668
2006-09-01,102.705436830819
2006-10-01,102.856785979783
2006-11-01,102.790299167565
2006-12-01,102.579590888012
2007-01-01,102.456024861143
2007-02-01,102.590079828443
2007-03-01,103.472521070288
2007-04-01,104.062975501594
2007-05-01,103.483545335551
2007-06-01,102.57506607362
2007-07-01,101.986350262863
2007-08-01,102.052244795639
2007-09-01,102.351924758135
2007-10-01,102.244078375553
2007-11-01,102.37046548352
2007-12-01,102.273577501947
2008-01-01,102.159357257815
2008-02-01,102.908218469898
2008-03-01,104.214290565288
2008-04-01,104.180031454717
2008-05-01,102.303580279799
2008-06-01,100.19996449841
2008-07-01,98.4113097453209
2008-08-01,97.3941651544984
2008-09-01,96.2168922255073
2008-10-01,93.5768094143334
2008-11-01,91.3817829742427
2008-12-01,91.7229889746937
2009-01-01,94.0895669239849
2009-02-01,97.0882576932634
2009-03-01,99.5974339381837
2009-04-01,100.945543713171
2009-05-01,101.321463119484
2009-06-01,101.370939995605
2009-07-01,101.477200523516
2009-08-01,101.797340849431
2009-09-01,102.241935052738
2009-10-01,102.755974298049
2009-11-01,103.131878122455
2009-12-01,103.268271661882
2010-01-01,102.794081826688
2010-02-01,102.13430271817
2010-03-01,102.297237488935
2010-04-01,102.27127457103
2010-05-01,101.523876307602
2010-06-01,100.542752851913
2010-07-01,100.03762748743
2010-08-01,100.375727140164
2010-09-01,101.314091271485
2010-10-01,102.090814709649
2010-11-01,102.289921952378
2010-12-01,101.837460200372
2011-01-01,101.231734598836
2011-02-01,100.879479530407
2011-03-01,100.842899248168
2011-04-01,100.590843466103
2011-05-01,100.065809603574
2011-06-01,99.5066560831178
2011-07-01,99.2008197213063
2011-08-01,99.0989157838229
2011-09-01,98.9488373535707
2011-10-01,98.5693962618603
2011-11-01,98.2580070092194
2011-12-01,98.4831798822836
2012-01-01,98.9937512505026
2012-02-01,99.7100011521583
2012-03-01,100.384818919851
2012-04-01,100.316795763104
2012-05-01,99.4786454345773
2012-06-01,98.7569643805133
2012-07-01,98.3001956605466
2012-08-01,98.0685730080616
2012-09-01,98.2050210533069
2012-10-01,98.4939615042079
2012-11-01,98.7400760822368
2012-12-01,98.822840058921
2013-01-01,98.7938816652243
2013-02-01,98.7942181148624
2013-03-01,98.9114770042948
2013-04-01,98.9219543725294
2013-05-01,98.8603037865098
2013-06-01,98.7514534823232
2013-07-01,98.8439939449249
2013-08-01,99.1179487343581
2013-09-01,99.3639710168563
2013-10-01,99.5104682533782
2013-11-01,99.4634484139615
2013-12-01,99.2176282317582
2014-01-01,98.9034530424515
2014-02-01,98.6894429790496
2014-03-01,98.6670256769295
2014-04-01,98.8069408466819
2014-05-01,99.0675260730837
2014-06-01,99.3406701421979
2014-07-01,99.5347018023821
2014-08-01,99.4729826888785
2014-09-01,99.3009551415975
2014-10-01,99.0326503375063
2014-11-01,98.7227158379099
2014-12-01,98.4771149019851
2015-01-01,98.3337185021145
2015-02-01,98.336169266106
2015-03-01,98.4196723865068
2015-04-01,98.4944133534638
2015-05-01,98.5337918280281
2015-06-01,98.4996806751973
2015-07-01,98.3889159862046
2015-08-01,98.2674082313488
2015-09-01,98.2091699552826
2015-10-01,98.1602180413106
2015-11-01,98.0826804843085
2015-12-01,98.0037483046946
2016-01-01,97.9214761117273
2016-02-01,97.9695827799712
2016-03-01,98.2421181517072
2016-04-01,98.4018823812787
2016-05-01,98.4383125255851
2016-06-01,98.4218498176581
2016-07-01,98.4675095223549
2016-08-01,98.665475147433
2016-09-01,98.9495702420007
2016-10-01,99.3286352557018
2016-11-01,99.6024324441472
2016-12-01,99.6695288300341
2017-01-01,99.6828414989621
2017-02-01,99.7249357229899
2017-03-01,99.7088437948543
2017-04-01,99.5935762944995
2017-05-01,99.5719510109183
2017-06-01,99.6706494613918
2017-07-01,99.7718421750703
2017-08-01,99.9438327267628
2017-09-01,100.0822595327
2017-10-01,99.9957107894018
2017-11-01,99.8683771457024
2017-12-01,99.6596524712335
