DATE,BSCICP03RUM665S
1992-09-01,93.8143785129016
1992-10-01,95.8861168548923
1992-11-01,97.376805744434
1992-12-01,98.4864638236464
1993-01-01,99.3513332046338
1993-02-01,99.478606922122
1993-03-01,99.2182295572855
1993-04-01,98.8347466211697
1993-05-01,98.2333771710716
1993-06-01,97.770051600317
1993-07-01,97.6124937167583
1993-08-01,97.1659143293417
1993-09-01,96.0844652442212
1993-10-01,94.4157897119564
1993-11-01,92.9770618301012
1993-12-01,91.9906645388564
1994-01-01,91.293927818705
1994-02-01,90.921090271601
1994-03-01,90.8642346646008
1994-04-01,90.9871739232423
1994-05-01,91.4692004682557
1994-06-01,92.2405708603868
1994-07-01,93.3060931724332
1994-08-01,94.9162922658596
1994-09-01,96.4659766387264
1994-10-01,97.2658518462644
1994-11-01,97.3883361834025
1994-12-01,97.2971185135671
1995-01-01,97.0746672868706
1995-02-01,96.7403654075231
1995-03-01,96.5171990398782
1995-04-01,96.3235699289644
1995-05-01,96.2348311027914
1995-06-01,96.4232030010808
1995-07-01,96.8569402057314
1995-08-01,97.0547775055404
1995-09-01,96.5298038048767
1995-10-01,95.6941607409806
1995-11-01,94.9413765391596
1995-12-01,94.5828130501411
1996-01-01,94.4708550039293
1996-02-01,94.6563537131798
1996-03-01,94.9008144776656
1996-04-01,95.1836418855525
1996-05-01,95.5278203990511
1996-06-01,95.81736223843
1996-07-01,96.0882764741185
1996-08-01,96.17312516428
1996-09-01,96.0902147652667
1996-10-01,96.0992391465096
1996-11-01,96.4886380739197
1996-12-01,97.0714094807533
1997-01-01,97.5741640127397
1997-02-01,98.0949476976941
1997-03-01,98.4467542616921
1997-04-01,98.7508276702532
1997-05-01,98.8882271447895
1997-06-01,98.9764963650236
1997-07-01,99.1727893415214
1997-08-01,99.4750299103692
1997-09-01,99.62605394161
1997-10-01,99.460951579988
1997-11-01,99.1335909951918
1997-12-01,98.8991262865743
1998-01-01,98.7089867239849
1998-02-01,98.52919536987
1998-03-01,98.2194727360479
1998-04-01,97.8607828225535
1998-05-01,97.6213086290486
1998-06-01,97.1091984388875
1998-07-01,96.6523402723168
1998-08-01,96.4725346269398
1998-09-01,96.4733800806178
1998-10-01,97.3014747111909
1998-11-01,98.4716091735766
1998-12-01,99.2507746678597
1999-01-01,99.7164548277862
1999-02-01,100.154733344076
1999-03-01,100.682358610355
1999-04-01,101.178523901302
1999-05-01,101.719888217501
1999-06-01,102.072743729352
1999-07-01,102.226855327483
1999-08-01,102.27788204622
1999-09-01,102.288239991866
1999-10-01,102.319807839236
