DATE,BSCICP03USM665S
1960-01-01,100.788617913007
1960-02-01,100.036356659705
1960-03-01,99.0594785444877
1960-04-01,98.293966243288
1960-05-01,97.8820383933695
1960-06-01,97.8772149323734
1960-07-01,98.0509622291147
1960-08-01,98.3010383573269
1960-09-01,98.3208206495182
1960-10-01,98.2235268297147
1960-11-01,98.0292393945763
1960-12-01,97.8967067041167
1961-01-01,97.9365264825786
1961-02-01,98.3436785088941
1961-03-01,99.2680333242783
1961-04-01,100.339946570456
1961-05-01,100.978887491008
1961-06-01,101.227045356507
1961-07-01,101.401820964284
1961-08-01,101.668325745038
1961-09-01,101.887024033549
1961-10-01,101.90767525007
1961-11-01,101.866246817
1961-12-01,101.984919914472
1962-01-01,101.896145801871
1962-02-01,101.689702401633
1962-03-01,101.261678421812
1962-04-01,100.565752513285
1962-05-01,99.9291278571457
1962-06-01,99.5154747565008
1962-07-01,99.3114368165118
1962-08-01,99.2264337462376
1962-09-01,99.3415350555942
1962-10-01,99.6581949483396
1962-11-01,100.095240405147
1962-12-01,100.44122583269
1963-01-01,100.500252447476
1963-02-01,100.508190716825
1963-03-01,100.625296174361
1963-04-01,100.905853272182
1963-05-01,101.091398409376
1963-06-01,100.980281310294
1963-07-01,100.735313214055
1963-08-01,100.636197917844
1963-09-01,100.719217154032
1963-10-01,100.786674372445
1963-11-01,100.727397316917
1963-12-01,100.628623834775
1964-01-01,100.790443175388
1964-02-01,101.0399437253
1964-03-01,101.264347900684
1964-04-01,101.340854625321
1964-05-01,101.427846360389
1964-06-01,101.66420359497
1964-07-01,101.970223718553
1964-08-01,102.12511408525
1964-09-01,102.088672487832
1964-10-01,101.936068304967
1964-11-01,101.894284098642
1964-12-01,101.911854956393
1965-01-01,101.947249360972
1965-02-01,102.085805603518
1965-03-01,102.190487080167
1965-04-01,102.009922712857
1965-05-01,101.701426070284
1965-06-01,101.361441259121
1965-07-01,101.177114417186
1965-08-01,101.18341368397
1965-09-01,101.312948771657
1965-10-01,101.389671698336
1965-11-01,101.649460176413
1965-12-01,102.125365602265
1966-01-01,102.567167606053
1966-02-01,102.727676494392
1966-03-01,102.593467601146
1966-04-01,102.157118763632
1966-05-01,101.596254972835
1966-06-01,101.37362903363
1966-07-01,101.340823253996
1966-08-01,101.252307804529
1966-09-01,101.0896789184
1966-10-01,100.746652528071
1966-11-01,100.2365289084
1966-12-01,99.698950889674
1967-01-01,99.1254017302756
1967-02-01,98.6053507150853
1967-03-01,98.1600123248435
1967-04-01,97.92612907405
1967-05-01,98.085698696027
1967-06-01,98.5394104315623
1967-07-01,99.1281793411941
1967-08-01,99.695045774855
1967-09-01,100.101689181363
1967-10-01,100.266844393882
1967-11-01,100.364940942538
1967-12-01,100.481604814012
1968-01-01,100.537979781369
1968-02-01,100.487913831388
1968-03-01,100.485762982069
1968-04-01,100.577771176832
1968-05-01,100.435206592006
1968-06-01,100.203904338479
1968-07-01,100.041548327402
1968-08-01,99.9454517109657
1968-09-01,100.049420164395
1968-10-01,100.405998203583
1968-11-01,100.680739825283
1968-12-01,100.692345607364
1969-01-01,100.65353229229
1969-02-01,100.711069435318
1969-03-01,100.715578177741
1969-04-01,100.634769552062
1969-05-01,100.571353618065
1969-06-01,100.417908397248
1969-07-01,100.256563984124
1969-08-01,100.243433225194
1969-09-01,100.231927048411
1969-10-01,100.166989156375
1969-11-01,99.9396770537088
1969-12-01,99.5641893315287
1970-01-01,99.091327471303
1970-02-01,98.7149690252016
1970-03-01,98.5051394862822
1970-04-01,98.4929383142732
1970-05-01,98.7682790820636
1970-06-01,99.0661509564769
1970-07-01,98.9844712571737
1970-08-01,98.5605108431932
1970-09-01,97.9938877564801
1970-10-01,97.5773343091724
1970-11-01,97.5459480587618
1970-12-01,98.1126413211388
1971-01-01,98.8942447018806
1971-02-01,99.6226329075779
1971-03-01,99.9235683272432
1971-04-01,100.13514644215
1971-05-01,100.199816780669
1971-06-01,100.192594793404
1971-07-01,100.189137879208
1971-08-01,100.183295858511
1971-09-01,100.225075158429
1971-10-01,100.247137805572
1971-11-01,100.359290303418
1971-12-01,100.804003106685
1972-01-01,101.238975404361
1972-02-01,101.480569876194
1972-03-01,101.51719796474
1972-04-01,101.491904188388
1972-05-01,101.48639502493
1972-06-01,101.434243295476
1972-07-01,101.597172776125
1972-08-01,101.989509329806
1972-09-01,102.551519602922
1972-10-01,103.115760527443
1972-11-01,103.607276916319
1972-12-01,103.905300230187
1973-01-01,104.001850664597
1973-02-01,103.838221107053
1973-03-01,103.567112758384
1973-04-01,103.155817728139
1973-05-01,102.657327383249
1973-06-01,102.195687687045
1973-07-01,101.814371068048
1973-08-01,101.982751873148
1973-09-01,102.363335735606
1973-10-01,102.741854815768
1973-11-01,102.826026966501
1973-12-01,102.472319372145
1974-01-01,102.02771608902
1974-02-01,101.674621107911
1974-03-01,101.5391934599
1974-04-01,101.259816450467
1974-05-01,100.839897419053
1974-06-01,100.501305057255
1974-07-01,100.162737543831
1974-08-01,99.5541361216374
1974-09-01,98.5776704895364
1974-10-01,97.4904005333577
1974-11-01,96.3787440994347
1974-12-01,95.4611212037724
1975-01-01,95.1235522986415
1975-02-01,95.2680296742183
1975-03-01,95.605250606744
1975-04-01,96.3396014869309
1975-05-01,97.2042362898276
1975-06-01,98.049380525308
1975-07-01,98.8071579391571
1975-08-01,99.520743538546
1975-09-01,100.057361626389
1975-10-01,100.336251098369
1975-11-01,100.464583709672
1975-12-01,100.705171266357
1976-01-01,101.123954229193
1976-02-01,101.439085670913
1976-03-01,101.476445574339
