DATE,BSCICP03INM665S
2016-06-01,97.390515162735
2016-07-01,97.3401416507383
2016-08-01,97.3977983767063
2016-09-01,97.620069371231
2016-10-01,97.9108128984457
2016-11-01,98.1463396191478
2016-12-01,98.2321182212317
2017-01-01,98.2146978566342
2017-02-01,98.1524983945446
2017-03-01,98.089799641296
2017-04-01,98.0755096577496
2017-05-01,98.1824323678367
2017-06-01,98.4781263973998
2017-07-01,98.8745512193989
2017-08-01,99.2666845714081
2017-09-01,99.5704090806759
2017-10-01,99.7646903591754
2017-11-01,99.8050082178663
2017-12-01,99.6462311117247
2018-01-01,99.4194540045822
2018-02-01,99.2867574623258
2018-03-01,99.363966747099
2018-04-01,99.5493303466163
2018-05-01,99.706897557626
2018-06-01,99.7417417546285
2018-07-01,99.7029800471021
2018-08-01,99.6620667930884
2018-09-01,99.6646930173073
2018-10-01,99.6848373757586
2018-11-01,99.6655710762089
2018-12-01,99.5423446644465
2019-01-01,99.3056854685367
2019-02-01,98.9072682870549
2019-03-01,98.2794188614663
2019-04-01,97.5163753340783
2019-05-01,96.7203770689222
2019-06-01,95.9829475744342
2019-07-01,95.3991321639046
2019-08-01,95.1100291346711
2019-09-01,95.1917068633528
2019-10-01,95.2494085197894
2019-11-01,94.7267546407121
2019-12-01,93.2389217756614
2020-01-01,91.4861766684168
2020-02-01,90.4832895973398
2020-03-01,91.0538599579087
2020-04-01,92.5747838090875
2020-05-01,94.316653879818
2020-06-01,95.8338060849024
2020-07-01,97.1334198213341
2020-08-01,98.2875755255675
2020-09-01,99.2628506994408
2020-10-01,99.8953739682972
2020-11-01,99.827603945936
2020-12-01,98.787860004581
2021-01-01,97.5701463360667
2021-02-01,97.2932189602493
2021-03-01,98.8376224605778
2021-04-01,101.341940426968
2021-05-01,103.69857208489
2021-06-01,105.089594458392
2021-07-01,105.670310841597
2021-08-01,105.612539872258
2021-09-01,104.958210595614
2021-10-01,104.111444880787
2021-11-01,103.493970369189
2021-12-01,103.392969861116
2022-01-01,103.579639499103
2022-02-01,103.75763843365
2022-03-01,103.723868342881
2022-04-01,103.53792365564
2022-05-01,103.295274774034
