DATE,BSCICP03EZM665S
1985-01-01,99.6496802525717
1985-02-01,99.382499194384
1985-03-01,99.2190032523315
1985-04-01,99.2181767361187
1985-05-01,99.2933473760461
1985-06-01,99.3452386967362
1985-07-01,99.3945828675827
1985-08-01,99.4924505656283
1985-09-01,99.633127988286
1985-10-01,99.7318067881577
1985-11-01,99.7483583654022
1985-12-01,99.6642127007272
1986-01-01,99.579143227442
1986-02-01,99.5498501893228
1986-03-01,99.5428042563857
1986-04-01,99.5390971958699
1986-05-01,99.5603772133911
1986-06-01,99.5781089723772
1986-07-01,99.5867406176266
1986-08-01,99.5670826081071
1986-09-01,99.4965654799219
1986-10-01,99.4255660804775
1986-11-01,99.4156988391561
1986-12-01,99.4030316763838
1987-01-01,99.3212896942475
1987-02-01,99.2656376049965
1987-03-01,99.3288594063695
1987-04-01,99.4303375722526
1987-05-01,99.5361723745475
1987-06-01,99.6332613501531
1987-07-01,99.774579764399
1987-08-01,99.9820916354398
1987-09-01,100.162099544658
1987-10-01,100.237742113511
1987-11-01,100.233437809343
1987-12-01,100.21813178474
1988-01-01,100.271821365274
1988-02-01,100.387525624804
1988-03-01,100.530932254242
1988-04-01,100.71358738418
1988-05-01,100.925046588322
1988-06-01,101.139113835701
1988-07-01,101.310165776916
1988-08-01,101.499093844644
1988-09-01,101.721141720641
1988-10-01,101.908092533739
1988-11-01,101.969562107096
1988-12-01,101.964946901198
1989-01-01,101.947507399426
1989-02-01,101.931204497517
1989-03-01,101.889249597127
1989-04-01,101.883743957029
1989-05-01,101.937628919565
1989-06-01,101.983523326091
1989-07-01,101.960953820171
1989-08-01,101.883796890346
1989-09-01,101.806180151412
1989-10-01,101.786302824939
1989-11-01,101.794047804269
1989-12-01,101.749748389199
1990-01-01,101.667558572381
1990-02-01,101.567526596882
1990-03-01,101.50111654835
1990-04-01,101.405678023707
1990-05-01,101.284192628977
1990-06-01,101.187376054634
1990-07-01,101.108490571732
1990-08-01,101.02349338161
1990-09-01,100.932143282353
1990-10-01,100.754103776757
1990-11-01,100.495850804449
1990-12-01,100.107592307813
1991-01-01,99.5715165303479
1991-02-01,99.1200458393631
1991-03-01,98.865220909069
1991-04-01,98.7779362061603
1991-05-01,98.7538708379492
1991-06-01,98.7385520717063
1991-07-01,98.7136418864394
1991-08-01,98.6744769227042
1991-09-01,98.5983104432231
1991-10-01,98.5590349294847
1991-11-01,98.5200074379836
1991-12-01,98.4677721550392
1992-01-01,98.4510878882966
1992-02-01,98.4253798592944
1992-03-01,98.3449816030717
1992-04-01,98.2266218136019
1992-05-01,98.0975967425033
1992-06-01,97.8874570899156
1992-07-01,97.5570330755984
1992-08-01,97.1385694175745
1992-09-01,96.6316929574767
1992-10-01,96.1007563788985
1992-11-01,95.6717006456573
1992-12-01,95.4018622928093
1993-01-01,95.2745727709212
1993-02-01,95.2612133085411
1993-03-01,95.2973891683576
1993-04-01,95.3151785177962
1993-05-01,95.3580718349316
1993-06-01,95.4120672933199
1993-07-01,95.5138927105926
1993-08-01,95.7536783147161
1993-09-01,96.0975736938548
1993-10-01,96.4879715401371
1993-11-01,96.8774004348388
1993-12-01,97.2348045746382
1994-01-01,97.6661288987488
1994-02-01,98.1324725819847
1994-03-01,98.6043363653483
1994-04-01,99.0486246699809
1994-05-01,99.3912382027687
1994-06-01,99.6961361228414
1994-07-01,100.030505999161
1994-08-01,100.386538789043
1994-09-01,100.762625942589
1994-10-01,101.109557144265
1994-11-01,101.35111073189
1994-12-01,101.490468292149
1995-01-01,101.519776338693
1995-02-01,101.469682834045
1995-03-01,101.304471510193
1995-04-01,101.085491822526
1995-05-01,100.834139742238
1995-06-01,100.56194336183
1995-07-01,100.295242076804
1995-08-01,100.007373618185
1995-09-01,99.7153706635992
1995-10-01,99.4655987644338
1995-11-01,99.1913029114566
1995-12-01,98.8679323928994
1996-01-01,98.5040955241935
1996-02-01,98.181589043286
1996-03-01,97.9847785903759
1996-04-01,97.9075382080672
1996-05-01,97.8989455285506
1996-06-01,97.959411564128
1996-07-01,98.0926051620812
1996-08-01,98.2827657855267
1996-09-01,98.4937357729744
1996-10-01,98.6865832052602
1996-11-01,98.797526000258
1996-12-01,98.9606514613489
1997-01-01,99.2269688084776
1997-02-01,99.4390625334946
1997-03-01,99.6070149323739
1997-04-01,99.7907594212766
1997-05-01,100.026575178752
1997-06-01,100.294457922564
1997-07-01,100.565645275455
1997-08-01,100.799185736365
1997-09-01,101.029650083638
1997-10-01,101.171369730551
1997-11-01,101.241318175222
1997-12-01,101.311838394781
1998-01-01,101.365136767833
1998-02-01,101.373878120629
1998-03-01,101.361223803307
1998-04-01,101.259864479588
1998-05-01,101.132457934474
1998-06-01,101.027426091156
1998-07-01,100.823020432887
1998-08-01,100.483469112032
1998-09-01,100.036709709738
1998-10-01,99.5928206171216
1998-11-01,99.3185452321562
1998-12-01,99.1444941318634
1999-01-01,99.0016416408456
1999-02-01,98.9198192987142
1999-03-01,98.9061166360823
1999-04-01,98.9700352920481
1999-05-01,99.1371916768263
1999-06-01,99.4231771322151
1999-07-01,99.7608485878978
1999-08-01,100.111020678592
1999-09-01,100.483693044474
1999-10-01,100.83344054729
1999-11-01,101.102307885233
1999-12-01,101.285629070875
2000-01-01,101.446501216471
2000-02-01,101.664689205828
2000-03-01,101.875753548707
2000-04-01,102.011761147575
2000-05-01,102.111340894394
2000-06-01,102.145897255329
2000-07-01,102.127814014297
2000-08-01,102.094787320254
2000-09-01,102.05235129536
2000-10-01,101.96912591259
2000-11-01,101.838142428846
2000-12-01,101.627842910214
