DATE,BSCICP03GBM665S
1977-03-01,100.886809213929
1977-04-01,100.539509657628
1977-05-01,100.345326314524
1977-06-01,100.242507040753
1977-07-01,100.268424769695
1977-08-01,100.424564813659
1977-09-01,100.591596194506
1977-10-01,100.730873662961
1977-11-01,100.776417258206
1977-12-01,100.554645779868
1978-01-01,100.275296287694
1978-02-01,99.9789005128861
1978-03-01,99.7571234098372
1978-04-01,99.7505278080991
1978-05-01,99.9536985117109
1978-06-01,100.341647992136
1978-07-01,100.78645577585
1978-08-01,101.146771118389
1978-09-01,101.359468315563
1978-10-01,101.49598436463
1978-11-01,101.490610826683
1978-12-01,101.182798809225
1979-01-01,101.037816630673
1979-02-01,101.322624707537
1979-03-01,101.714394638054
1979-04-01,101.909806283521
1979-05-01,101.710729992257
1979-06-01,101.186457017415
1979-07-01,100.574144685406
1979-08-01,100.087805244185
1979-09-01,99.6955239774992
1979-10-01,99.2481565828342
1979-11-01,98.6337784660142
1979-12-01,98.04623110423
1980-01-01,97.5855849134606
1980-02-01,97.1304024836987
1980-03-01,96.5059962658496
1980-04-01,95.620735483499
1980-05-01,94.545840109623
1980-06-01,93.515905439592
1980-07-01,92.7338916330204
1980-08-01,92.3285319483746
1980-09-01,92.3593380647287
1980-10-01,92.6887204713544
1980-11-01,92.9343742866601
1980-12-01,93.3267369722302
1981-01-01,93.8615397684701
1981-02-01,94.2347618596636
1981-03-01,94.596774536075
1981-04-01,95.0386155109571
1981-05-01,95.5194586147682
1981-06-01,95.9704490948484
1981-07-01,96.3895794633788
1981-08-01,96.7473771779972
1981-09-01,97.0422853171101
1981-10-01,97.1840619880913
1981-11-01,97.2187584017873
1981-12-01,97.1246639701679
1982-01-01,97.0100072235397
1982-02-01,96.9984429072397
1982-03-01,97.0859391338711
1982-04-01,97.0105579137335
1982-05-01,96.8714779326639
1982-06-01,96.7370383289316
1982-07-01,96.5820026581679
1982-08-01,96.4194775872749
1982-09-01,96.4538958338622
1982-10-01,96.5298337809811
1982-11-01,96.4989994684955
1982-12-01,96.681394209639
1983-01-01,97.1738876587464
1983-02-01,97.9361275014461
1983-03-01,98.7587558549695
1983-04-01,99.3715090253487
1983-05-01,99.8046005493638
1983-06-01,100.023639358855
1983-07-01,100.066778629014
1983-08-01,100.238561261965
1983-09-01,100.468808897955
1983-10-01,100.736614578445
1983-11-01,101.183139177139
1983-12-01,101.490045482244
1984-01-01,101.557018832878
1984-02-01,101.581954450275
1984-03-01,101.503938542336
1984-04-01,101.312149343994
1984-05-01,101.237547689142
1984-06-01,101.237656487047
1984-07-01,101.221593945657
1984-08-01,101.103447782395
1984-09-01,101.054093288374
1984-10-01,101.080495565296
1984-11-01,101.121203855521
1984-12-01,101.1459034578
1985-01-01,101.105684536215
1985-02-01,101.235764927123
1985-03-01,101.48848353985
1985-04-01,101.737645701315
1985-05-01,101.761800846688
1985-06-01,101.657188362536
1985-07-01,101.365166162619
1985-08-01,101.126763110381
1985-09-01,101.115371023201
1985-10-01,101.193146470572
1985-11-01,101.148551637983
1985-12-01,100.926235432454
1986-01-01,100.543401903169
1986-02-01,100.461503141797
1986-03-01,100.229460001906
1986-04-01,99.9151245090308
1986-05-01,99.6826997982595
1986-06-01,99.4561420677756
1986-07-01,99.4156050885793
1986-08-01,99.6188402327168
1986-09-01,100.036565934162
1986-10-01,100.519422405135
1986-11-01,100.906272265592
1986-12-01,101.150565743179
1987-01-01,101.461319478739
1987-02-01,102.030239368917
1987-03-01,102.46923214883
1987-04-01,102.773961420736
1987-05-01,103.127125166515
1987-06-01,103.357426612229
1987-07-01,103.503667714858
1987-08-01,103.752358444328
1987-09-01,103.926294946724
1987-10-01,104.237561489334
1987-11-01,104.449518916038
1987-12-01,104.417445306519
1988-01-01,104.346180945364
1988-02-01,104.257097781938
1988-03-01,104.102211900048
1988-04-01,103.961858138311
1988-05-01,103.967331980164
1988-06-01,103.903127213373
1988-07-01,103.938433996037
1988-08-01,104.022056354013
1988-09-01,104.015615117439
1988-10-01,103.894355379125
1988-11-01,103.68680482808
1988-12-01,103.379674833416
1989-01-01,102.82239582282
1989-02-01,102.303093720467
1989-03-01,101.833073920975
1989-04-01,101.424215247373
1989-05-01,101.209911679907
1989-06-01,101.131888411726
1989-07-01,101.116028547006
1989-08-01,100.894974504979
1989-09-01,100.548096509338
1989-10-01,100.290686422262
1989-11-01,100.039411154155
1989-12-01,99.8758316366506
1990-01-01,99.6395865337846
1990-02-01,99.3605330813799
1990-03-01,99.1704138126086
1990-04-01,99.2274560795181
1990-05-01,99.2020156301529
1990-06-01,99.0419538405568
1990-07-01,98.6609918935277
1990-08-01,98.1975271785506
1990-09-01,97.6671792485413
1990-10-01,97.1126196586391
1990-11-01,96.5308671054456
1990-12-01,95.9247784331532
1991-01-01,95.3479424091581
1991-02-01,94.8262682263444
1991-03-01,94.842584546363
1991-04-01,95.0787929219429
1991-05-01,95.1282964549395
1991-06-01,95.3769439911455
1991-07-01,95.7804637884457
1991-08-01,96.3077173188637
1991-09-01,96.8813226728339
1991-10-01,97.1911061617675
1991-11-01,97.2449159574931
1991-12-01,96.9795515949452
1992-01-01,96.6846294119415
1992-02-01,96.7027970214617
1992-03-01,97.0896420387777
1992-04-01,97.6668934245109
1992-05-01,98.1298311215907
1992-06-01,97.9306165242085
1992-07-01,97.2621397338355
1992-08-01,96.5762719177903
1992-09-01,96.3444787516585
1992-10-01,96.473291489509
1992-11-01,96.587924419509
1992-12-01,96.9634922759966
1993-01-01,97.5179211494256
1993-02-01,98.1819138038477
